Index,date,close
1355,7/3/2019,56.08
1356,7/2/2019,55.56
1357,7/1/2019,54.9
1358,6/28/2019,54.05
1359,6/27/2019,53.8
1360,6/26/2019,53.99
1361,6/25/2019,54.32
1362,6/24/2019,55.78
1363,6/21/2019,56.09
1364,6/20/2019,55.57
1365,6/19/2019,55.12
1366,6/18/2019,55.18
1367,6/17/2019,54.63
1368,6/14/2019,54.27
1369,6/13/2019,54.44
1370,6/12/2019,53.85
1371,6/11/2019,53.94
1372,6/10/2019,54.02
1373,6/7/2019,53.3
1374,6/6/2019,52.22
1375,6/5/2019,52.11
1376,6/4/2019,52.65
1377,6/3/2019,51.81
1378,5/31/2019,55.18
1379,5/30/2019,55.9
1380,5/29/2019,55.82
1381,5/28/2019,56.71
1382,5/24/2019,56.67
1383,5/23/2019,57.04
1384,5/22/2019,57.57
1385,5/21/2019,57.48
1386,5/20/2019,56.94
1387,5/17/2019,58.12
1388,5/16/2019,58.95
1389,5/15/2019,58.21
1390,5/14/2019,56.02
1391,5/13/2019,56.6
1392,5/10/2019,58.21
1393,5/9/2019,58.12
1394,5/8/2019,58.31
1395,5/7/2019,58.71
1396,5/6/2019,59.47
1397,5/3/2019,59.27
1398,5/2/2019,58.13
1399,5/1/2019,58.4
1400,4/30/2019,59.42
1401,4/29/2019,64.38
1402,4/26/2019,63.61
1403,4/25/2019,63.17
1404,4/24/2019,62.8
1405,4/23/2019,63.23
1406,4/22/2019,62.44
1407,4/18/2019,61.82
1408,4/17/2019,61.82
1409,4/16/2019,61.36
1410,4/15/2019,61.06
1411,4/12/2019,60.89
1412,4/11/2019,60.23
1413,4/10/2019,60.11
1414,4/9/2019,59.86
1415,4/8/2019,60.19
1416,4/5/2019,60.36
1417,4/4/2019,60.75
1418,4/3/2019,60.3
1419,4/2/2019,60.02
1420,4/1/2019,59.72
1421,3/29/2019,58.67
1422,3/28/2019,58.42
1423,3/27/2019,58.65
1424,3/26/2019,59.23
1425,3/25/2019,59.65
1426,3/22/2019,60.28
1427,3/21/2019,61.58
1428,3/20/2019,61.2
1429,3/19/2019,59.94
1430,3/18/2019,59.21
1431,3/15/2019,59.22
1432,3/14/2019,59.28
1433,3/13/2019,59.67
1434,3/12/2019,59.66
1435,3/11/2019,58.79
1436,3/8/2019,57.12
1437,3/7/2019,57.17
1438,3/6/2019,57.89
1439,3/5/2019,58.1
1440,3/4/2019,57.39
1441,3/1/2019,57.05
1442,2/28/2019,56
1443,2/27/2019,55.8
1444,2/26/2019,55.76
1445,2/25/2019,55.47
1446,2/22/2019,55.52
1447,2/21/2019,54.85
1448,2/20/2019,55.69
1449,2/19/2019,55.93
1450,2/15/2019,55.68
1451,2/14/2019,56.08
1452,2/13/2019,56.01
1453,2/12/2019,56.07
1454,2/11/2019,54.75
1455,2/8/2019,54.75
1456,2/7/2019,54.94
1457,2/6/2019,55.76
1458,2/5/2019,57.3
1459,2/4/2019,56.64
1460,2/1/2019,55.54
1461,1/31/2019,55.82
1462,1/30/2019,54.45
1463,1/29/2019,53.03
1464,1/28/2019,53.5
1465,1/25/2019,54.55
1466,1/24/2019,53.7
1467,1/23/2019,53.78
1468,1/22/2019,53.53
1469,1/18/2019,54.91
1470,1/17/2019,54.5
1471,1/16/2019,54.05
1472,1/15/2019,53.86
1473,1/14/2019,52.23
1474,1/11/2019,52.86
1475,1/10/2019,53.52
1476,1/9/2019,53.73
1477,1/8/2019,53.81
1478,1/7/2019,53.42
1479,1/4/2019,53.54
1480,1/3/2019,50.8
1481,1/2/2019,52.29
1482,12/31/2018,51.78
1483,12/28/2018,51.85
1484,12/27/2018,52.19
1485,12/26/2018,51.97
1486,12/24/2018,48.81
1487,12/21/2018,48.98
1488,12/20/2018,50.47
1489,12/19/2018,51.15
1490,12/18/2018,51.44
1491,12/17/2018,50.83
1492,12/14/2018,52.11
1493,12/13/2018,53.1
1494,12/12/2018,53.18
1495,12/11/2018,52.59
1496,12/10/2018,51.98
1497,12/7/2018,51.83
1498,12/6/2018,53.44
1499,12/4/2018,52.54
1500,12/3/2018,55.32
1501,11/30/2018,54.72
1502,11/29/2018,54.42
1503,11/28/2018,54.31
1504,11/27/2018,52.22
1505,11/26/2018,52.43
1506,11/23/2018,51.19
1507,11/21/2018,51.88
1508,11/20/2018,51.29
1509,11/19/2018,51
1510,11/16/2018,53.07
1511,11/15/2018,53.24
1512,11/14/2018,52.18
1513,11/13/2018,51.8
1514,11/12/2018,51.93
1515,11/9/2018,53.31
1516,11/8/2018,54.12
1517,11/7/2018,54.67
1518,11/6/2018,52.79
1519,11/5/2018,52
1520,11/2/2018,52.89
1521,11/1/2018,53.5
1522,10/31/2018,53.84
1523,10/30/2018,51.81
1524,10/29/2018,51
1525,10/26/2018,53.57
1526,10/25/2018,54.78
1527,10/24/2018,52.54
1528,10/23/2018,55.18
1529,10/22/2018,55.06
1530,10/19/2018,54.82
1531,10/18/2018,54.4
1532,10/17/2018,55.78
1533,10/16/2018,56.06
1534,10/15/2018,54.61
1535,10/12/2018,55.5
1536,10/11/2018,53.97
1537,10/10/2018,54.06
1538,10/9/2018,56.94
1539,10/8/2018,57.45
1540,10/5/2018,57.87
1541,10/4/2018,58.41
1542,10/3/2018,60.15
1543,10/2/2018,60.01
1544,10/1/2018,59.77
1545,9/28/2018,59.67
1546,9/27/2018,59.73
1547,9/26/2018,59.02
1548,9/25/2018,59.23
1549,9/24/2018,58.67
1550,9/21/2018,58.3
1551,9/20/2018,59.34
1552,9/19/2018,58.55
1553,9/18/2018,58.06
1554,9/17/2018,57.8
1555,9/14/2018,58.63
1556,9/13/2018,58.77
1557,9/12/2018,58.14
1558,9/11/2018,58.87
1559,9/10/2018,58.23
1560,9/7/2018,58.24
1561,9/6/2018,58.57
1562,9/5/2018,59.32
